poly,Village Name,Survey_No,Mandal,District,State,Land SubDivision Number,Crop Area in Hectares,Land Record Area,Sowing Date,Event_date,Sowing Date,Plateau Start,Plateau End,Field Clearing Date,Event Occurred Type,Crop Name,High Resolution Usage Analysis,Sentinel LULC for Area Analysis,Score from Weather Anamoloies,Cycle Completeness Stage of the Crop ,Stage of the Crop at the time of the event ,Phenology similarity of past 5 years,NDMI status (dryness or wetness of the crop),Abnormalities in the Phenology,Phenology score at Event,Final Score for Settlement,Days passed after the plateau ended,Crop Standing on Event,Crop Harvested and Laid,Crop Removed,Verdict
20,DEI,3448,Nainwa,Bundi,Rajasthan,1143,0.02832,0.1699,2023-06-20,2023-09-18,2023-07-02,2023-07-30,2023-09-19,2023-10-19,Excess Rainfall,Urad,10.00,10.00,10.00,7.16,7.24,6.80,7.00,2.50,10.00,589,-1,0,1,0,Settle
21,DEI,3777,Nainwa,Bundi,Rajasthan,1143,0.01618,0.0971,2023-06-20,2023-09-18,2023-07-02,2023-08-11,2023-09-19,2023-10-23,Excess Rainfall,Urad,10.00,10.00,10.00,6.90,7.23,7.00,8.00,0.00,10.00,619,-1,0,1,0,Settle
22,DEI,2651/1,Nainwa,Bundi,Rajasthan,81,0.12945,0.2589,2023-06-20,2023-09-18,2023-06-10,2023-08-11,2023-09-19,2023-10-23,Excess Rainfall,Urad,3.00,10.00,10.00,7.41,7.91,7.40,7.00,5.00,10.00,509,-1,0,1,0,Review
23,DEI,36/4185,Nainwa,Bundi,Rajasthan,81,0.4328,0.8656,2023-06-20,2023-09-18,2023-06-22,2023-07-30,2023-09-03,2023-10-11,Excess Rainfall,Urad,10.00,6.07,10.00,7.93,7.53,6.90,7.00,0.00,5.00,539,15,0,1,0,Review
24,DEI,4603/7,Nainwa,Bundi,Rajasthan,972,0.9384,0.9384,2023-06-20,2023-09-18,2023-07-10,2023-08-11,2023-09-19,2023-10-19,Excess Rainfall,Urad,10.00,6.75,10.00,6.93,7.18,7.90,7.00,0.00,10.00,612,-1,0,1,0,Settle
25,KARWAR,215,Nainwa,Bundi,Rajasthan,1054,0.178,0.178,2023-07-03,2023-09-16,2023-07-10,2023-08-11,2023-09-19,2023-10-19,Excess Rainfall,Soyabean,10.00,8.03,8.57,6.73,5.52,5.90,8.00,0.00,10.00,572,-3,0,0,0,Settle
26,KARWAR,1573,Nainwa,Bundi,Rajasthan,151,0.99505,1.9901,2023-07-01,2023-09-16,2023-07-02,2023-08-11,2023-09-19,2023-10-11,Excess Rainfall,Soyabean,10.00,8.26,8.57,7.52,6.48,5.90,8.00,0.00,10.00,590,-3,0,0,0,Settle
27,KARWAR,1774,Nainwa,Bundi,Rajasthan,899,0.05663,0.2265,2023-07-02,2023-09-16,2023-06-18,2023-08-15,2023-09-27,2023-10-19,Excess Rainfall,Urad,10.00,10.00,10.00,7.32,6.25,6.10,8.00,2.50,0.00,430,-11,1,0,0,No Settle
28,KARWAR,1776,Nainwa,Bundi,Rajasthan,899,0.17193,0.6877,2023-07-02,2023-09-16,2023-06-22,2023-08-11,2023-09-19,2023-10-19,Excess Rainfall,Urad,10.00,10.00,10.00,7.23,6.99,6.80,8.00,0.00,10.00,618,-3,0,0,0,Settle
29,KARWAR,1780,Nainwa,Bundi,Rajasthan,899,0.18,0.72,2023-07-02,2023-09-16,2023-06-28,2023-08-11,2023-09-19,2023-10-19,Excess Rainfall,Urad,10.00,10.00,8.57,7.08,6.78,7.00,8.00,0.00,10.00,605,-3,0,0,0,Settle
